"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,
"World Fertility Data 2012
ANNUAL NUMBER OF BIRTHS AND CRUDE BIRTH RATE

Copyright ? 2013 by United Nations. All rights reserved.
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2013). World Fertility Data 2012 (POP/DB/Fert/Rev2012).",,,,,,,,,,,,,,,,
Country,ISO code,Period,Reference,,Number of births,"Crude birth rate
(per thousand)",Source type,Source,,Survey name,Note on country or population,Note on definition of live birth,Note on methods,Additional note,Note on population data used in denominator,
,,,Year,Period,,,,"Number of 
births",Crude birth rate,,,,,,,
Afghanistan,4,..,1979,,"685,401",48.1,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Afghanistan,4,Around 2005,2000,,"941,680",41.2,Survey,,MICS,Afghanistan 2000 Multiple Indicator Cluster Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Afghanistan,4,Latest,2009,2007-2010,"1,088,568",35.6,Survey,,DHS,Afghanistan 2010 Mortality Survey,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Albania,8,Around 1970,1970,,"69,507",32.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Albania,8,Around 1985,1985,,"77,535",26.2,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Albania,8,Around 1995,1995,,"72,081",23.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Albania,8,Around 2005,2005,,"39,612",12.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Albania,8,Latest,2011,,"32,628",10.1,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Algeria,12,Around 1970,1970,,"603,376",43.9,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Algeria,12,Around 1985,1985,,"845,383",38.3,Registration,UNSD,,,,Excluding live-born infants who died before their birth was registered.,,,Population data are national estimates published by the United Nations Statistics Division.,
Algeria,12,Around 1995,1995,,"710,597",25.1,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Algeria,12,Around 2005,2005,,"703,000",21.4,Registration,UNSD,,,Data refer to Algerian population only.,Excluding live-born infants who died before their birth was registered.,,,Population data are national estimates published by the United Nations Statistics Division.,
Algeria,12,Latest,2010,,"887,810",25.0,Registration,UNSD,,,Data refer to Algerian population only.,Excluding live-born infants who died before their birth was registered.,,,Population data are national estimates published by the United Nations Statistics Division.,
American Samoa,16,Around 1970,1970,,"1,011",37.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
American Samoa,16,Around 1985,1985,,"1,526",39.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
American Samoa,16,Around 1995,1995,,"1,698",32.1,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
American Samoa,16,Around 2005,2005,,"1,720",26.3,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
American Samoa,16,Latest,2006,,"1,442",21.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Andorra,20,..,1977,,469,17.1,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Andorra,20,Around 1985,1985,,557,12.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Andorra,20,Around 1995,1995,,660,10.3,Registration,,WHO,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Andorra,20,Around 2005,2005,,828,10.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Andorra,20,Latest,2010,,828,9.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Angola,24,Around 1970,1970,,"266,685",45.0,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Angola,24,Latest,2005,2004-2007,"700,783",42.5,Survey,,DHS,Angola 2006-2007 Malaria Indicators Survey (MIS),,,,,Population data are national estimates published by the United Nations Statistics Division.,
Anguilla,660,Around 1985,1985,,177,26.6,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Anguilla,660,Around 1995,1995,,167,17.0,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Anguilla,660,Around 2005,2005,,167,12.2,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Anguilla,660,Latest,2011,,185,11.1,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Antigua and Barbuda,28,Around 1970,1970,,"1,540",25.4,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Antigua and Barbuda,28,Around 1985,1985,,"1,190",18.7,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Antigua and Barbuda,28,Around 1995,1995,,"1,347",19.9,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Antigua and Barbuda,28,Around 2005,2000,,"1,528",21.1,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Antigua and Barbuda,28,Latest,2010,,"1,255",13.8,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Argentina,32,Around 1970,1970,,"544,521",22.7,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Argentina,32,Around 1985,1985,,"650,783",21.4,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Argentina,32,Around 1995,1995,,"658,735",18.9,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Argentina,32,Around 2005,2005,,"712,220",18.4,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Argentina,32,Latest,2010,,"756,176",18.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Armenia,51,Around 1970,1970,,"55,694",22.1,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Armenia,51,Around 1985,1985,,"80,306",24.1,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Armenia,51,Around 1995,1995,,"48,960",13.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Armenia,51,Around 2005,2005,,"37,499",11.7,Registration,UNSD,,,,"Excluding live-born infants of less than 28 weeks' gestation, of less than 1,000 grams in weight and 35 centimetres in length, who died within seven days of birth.",,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
